Name,Affiliation,Webpage
Singh Gurprit,Max-Planck Institute for Informatics Saarbrucken,https://people.mpi-inf.mpg.de/~gsingh/
Song Peng,Singapore University of Technology and Design,https://istd.sutd.edu.sg/people/faculty/peng-song/
Su Wanchao,Monash University,https://research.monash.edu/en/persons/wanchao-su
Subr Kartic,University of Edinburgh,https://homepages.inf.ed.ac.uk/ksubr/index.html
Sun Qi,New York University,https://engineering.nyu.edu/faculty/qi-sun
Tan Jianchao,George Mason University,https://cs.gmu.edu/~jtan8/
Tang Min,Zhejiang University,https://person.zju.edu.cn/en/tangm
Thiery Jean-Marc,Adobe Research,https://research.adobe.com/person/jean-thiery/
Tursun Cara,University of Groningen,https://visualcomputing.nl/
Umetani Nobuyuki,The University of Tokyo,http://www.nobuyuki-umetani.com/
Vaxman Amir,The University of Edinburgh,https://www.ed.ac.uk/profile/dr-amir-vaxman
Vouga Etienne,UT Austin,https://www.cs.utexas.edu/~evouga/
Wang Beibei,Nanjing University,https://wangningbei.github.io/
Wang Miao,Beihang University,http://miaowang.me/
Wang Yunhai,Shandong university,http://www.yunhaiwang.net/
Wu Hongzhi,Zhejiang University,https://person.zju.edu.cn/en/hwu
Wu Hsiang-Yun,The St. Pölten University of Applied Sciences,https://www.fhstp.ac.at/en/about-us/staff-a-z/wu-hsiang-yun
Wu Kui,LightSpeed Studios,https://kuiwuchn.github.io/
Xia Shihong,Institute of Computing Technology Chinese Academy of Sciences,https://people.ucas.ac.cn/~xiashihong?language=en
Xiao Chunxia,Wuhan University,http://graphvision.whu.edu.cn/
Xin Shiqing,Shandong University,https://irc.cs.sdu.edu.cn/~shiqing/index.html
Xu Feng,Tsinghua University,http://xufeng.site/
Xu Kun,Tsinghua University,https://cg.cs.tsinghua.edu.cn/people/~kun/
Xu Pengfei,Shenzhen University,https://pengfeixu.com/
Xu Weiwei,Zhejiang University,http://www.cad.zju.edu.cn/home/weiweixu/weiweixu_en.htm
Ye Hui,City University of Hong Kong,https://huiye19.github.io/
Yue Yonghao,Aoyama Gakuin University,http://www.cg.it.aoyama.ac.jp/yonghao/
Zhai Xiaoya,University of Science and Technology of China,https://xiaoyazhai.github.io/
Zhang Fang-Lue,Victoria University of Wellington,https://people.wgtn.ac.nz/fanglue.zhang
Zhang Lei,Beijing Institute of Technology,https://zhangleibit.github.io/
Zhang Meng,Nanjng University of Science and Technology,https://mengzephyr.com/
Zhang Yun,Communication University of Zhejiang,http://zhangyunnet.cn/academic/
Zhao Haisen,Shandong University,https://haisenzhao.github.io/
Zhu Bo,Georgia Institute of Technology,https://faculty.cc.gatech.edu/~bozhu/
Zhu Chenyang,National University of Defense Technology,https://www.zhuchenyang.net/
Zhu Junqiu,UC Santa Barbara,http://junqiuzhu.com/
Zhu Zhe,Duke University,http://zhezhu.me/
